id,type,network_id,creation_time,failed,time_of_death,participant_id,property1,property2,property3,property4,property5
718,bandit_agent,1,2016-02-23 09:25:14.77816,f,,A35T27KQCPEL8H:35GMH2SV3EHUOP0OLYJHK705Q8FEOM,2.3409,15,,,
728,bandit_agent,1,2016-02-23 09:47:13.204927,f,,A1TLNLB9D87H6:31QNSG6A5RT6UIYYR9GFHBIOPG787R,0.34809999999999997,15,,,
753,bandit_agent,1,2016-02-23 10:30:12.997812,f,,A2XBRIR84FMHGR:3MH9DQ757WCNL8GCNFLEJGD6LAJGUJ,2.2801,15,,,
742,bandit_agent,1,2016-02-23 10:15:16.981501,f,,A31GFFC6UKDYJL:3LKC68YZ3A3O5PMF6YDN6D75XCKWOK,0.019600000000000003,15,,,
748,bandit_agent,1,2016-02-23 10:20:23.936011,f,,AQ4A1EXECA4R5:3XM0HYN6NKZC9PCP0YWW975V0DBPEE,0.1024,15,,,
756,bandit_agent,1,2016-02-23 10:41:38.568489,t,2016-02-23 10:44:50.323798,A1ZBCPFZH8XT7X:39DD6S19JPB6NTEVN7UY0579ACKEZQ,1.0000000000000004e-12,16,,,
767,bandit_agent,1,2016-02-23 11:07:39.959449,f,,A1IYHQPPOACU83:3R8YZBNQ9HIC0MYUD3XF323OJMVQ7M,0.16000000000000003,16,,,
773,bandit_agent,1,2016-02-23 11:12:35.94603,f,,A17AZSBZ8XLED7:3BC8WZX3V3WMU6X9ZWKLD94TGKQRRM,0.4624000000000001,16,,,
774,bandit_agent,1,2016-02-23 11:13:14.49337,f,,ATADQXPHL10Y8:3R08VXYT7CVHKJUGPCWLVRLA7NC7W7,1.0000000000000004e-12,16,,,
780,bandit_agent,1,2016-02-23 11:19:29.276035,f,,ABQQXY1B5B840:3XLBSAQ9Z4CLEEZL0ZGSUVFSOPG7ZX,1.0000000000000004e-12,16,,,
786,bandit_agent,1,2016-02-23 11:30:58.668039,f,,A2QVL6H4H2F8R1:3IOEN3P9S7J5FI089E28WNVKGZK164,1.4161,16,,,
788,bandit_agent,1,2016-02-23 11:31:56.87385,f,,A1OYETSCFCY0BZ:3WJ1OXY92AGODKWWYCSZR2KEQOF8AK,0.4900000000000001,16,,,
792,bandit_agent,1,2016-02-23 11:33:58.968981,f,,A34PP2XUWYYQZB:3YMTUJH0DSGS9F83S9T35VU1CR4T4J,1.0000000000000004e-12,16,,,
796,bandit_agent,1,2016-02-23 11:41:33.167186,f,,A2LV5432PV1S39:3VNL7UK1XFJ27V5SCQPMWZRS1HDFTT,0.2304,16,,,
56,bandit_agent,1,2016-02-22 21:47:11.977731,f,,A3JUQYPGR1CKUY:3JPSL1DZ5SZ9GRJ04EHI9ZA9FIPNAW,0.7055999999999999,1,,,
64,bandit_agent,1,2016-02-22 21:49:04.903495,f,,A2VO6AGSLIK072:3DQQ64TANGL6QPYGLYQ2VDCV7GTPW5,0.010000000000000002,1,,,
391,bandit_agent,1,2016-02-23 01:48:45.644224,f,,A26XN1TM6CV01T:3BXQMRHWKZYNDICYYIJ9WLX3HWFMUH,0.010000000000000002,8,,,
458,bandit_agent,1,2016-02-23 02:30:04.981243,f,,A873WJQ0BFX66:34V1S5K3GS1N4N33DRH1BTD3EBS965,0.7055999999999999,9,,,
405,bandit_agent,1,2016-02-23 01:53:52.050233,f,,A35IT4DXRZES0I:3PQ8K71NHXK2W8PBVACDNTQ9GCZAAA,0.0064,8,,,
412,bandit_agent,1,2016-02-23 01:56:21.453746,f,,A34V3SR58OG9M7:3OLF68YTN91XSZ6J6QY51U10DSCAFN,0.8836000000000002,8,,,
698,bandit_agent,1,2016-02-23 08:25:27.871714,f,,A3T7HQK9X0LPEN:3SPJ0334213ETJQI5M36JEBZ9Q9JYM,0.4900000000000001,14,,,
418,bandit_agent,1,2016-02-23 02:08:43.944899,f,,A1M0RY7GLI1ZYX:39KFRKBFINVSUUHFLZVBRASL8K5YO6,1.0000000000000004e-12,9,,,
539,bandit_agent,1,2016-02-23 05:12:26.504147,f,,A2RSHLXIX517VG:36W0OB37HWEI735XD824L84M2S1ZHG,0.1936,11,,,
467,bandit_agent,1,2016-02-23 02:45:59.742028,t,2016-02-23 02:59:17.659038,A1OU0NJL1UTDJ7:37TRT2X24QRIGBX7VUPMB3DYOHGJBW,,9,,,
434,bandit_agent,1,2016-02-23 02:16:59.913677,f,,A37FVCKAUOBI15:3V26SBZTBDE4YO5RJU8BLF8RYIDZZ1,0.1296,9,,,
436,bandit_agent,1,2016-02-23 02:18:03.916443,f,,ABCRS0HG7CU3I:3SBEHTYCWN3IY86CN4I67DWZWB8IYX,0.1444,9,,,
451,bandit_agent,1,2016-02-23 02:24:59.961929,f,,A1GLX5G8GCKNPN:3ZPPDN2SLVWRH2WIJ90ZNH5GV9GE9V,1.0000000000000004e-12,9,,,
612,bandit_agent,1,2016-02-23 06:29:42.269562,f,,A3DRPOS2A1QTFV:3Y4W8Q93LZKKM3VLQFUB9HCSMP6VD7,0.8836000000000002,12,,,
479,bandit_agent,1,2016-02-23 03:28:10.982167,f,,A1ONVQPNJKL9ZA:36H9ULYP62U8TS9N0WBIUT4J3F9JFF,0.5929,10,,,
480,bandit_agent,1,2016-02-23 03:28:35.368364,f,,A19ED8FYO6CA36:3A1PQ49WVHHLC7KP5XTCTEKAPDMH17,0.0841,10,,,
549,bandit_agent,1,2016-02-23 05:17:36.51919,f,,AE5LB3REP0N6X:3DIP6YHAPCSR3XD8EHULNLA5B348E6,0.09,11,,,
490,bandit_agent,1,2016-02-23 03:32:45.305941,f,,A1QMA7B5UBLQIH:3RANCT1ZVFHRUR817TT0I5M95XFBUL,0.0484,10,,,
496,bandit_agent,1,2016-02-23 03:35:03.050032,f,,A1P3YDRJGXWPDT:39ZSFO5CA8WXCA6DVL6HGT5MD2OJUE,1.0000000000000004e-12,10,,,
553,bandit_agent,1,2016-02-23 05:21:53.321145,t,2016-02-23 05:28:35.58132,A2XKIP0PJ3FJ20:34QN5IT0TZRSC7YE6AV62W81H2T80J,1.0000000000000004e-12,11,,,
501,bandit_agent,1,2016-02-23 03:37:07.056636,f,,A2YPW0V1G8KOMV:3K3R2QNK8B386YT499F4RZRJHXC9U9,0.3844,10,,,
503,bandit_agent,1,2016-02-23 03:37:52.71418,t,2016-02-23 03:44:21.116472,A9BA2CL7WMG67:3TY7ZAOG5FKC780FFZS9S1HSC2KK0B,1.0000000000000004e-12,10,,,
