id,assignment_id,creation_time,event_type
3425,3TXMY6UCAEOIC3TQ4K5QJOV2LU4CQE,2016-03-13 03:38:57.750947,AssignmentReturned
3426,3FQ5JJ512LOFS4SMG5U73DD5LSPNKE,2016-03-13 03:41:28.320213,AssignmentSubmitted
3427,3Z4GS9HPNVA2U4TFH4O93BMTFTL77I,2016-03-13 03:41:29.336725,AssignmentSubmitted
3428,351SEKWQS0H1WG1CCNTKMLTFWTJDMS,2016-03-13 03:41:56.118886,AssignmentAccepted
3429,3Q5C1WP23M19WE0U4VS34HHKL1P513,2016-03-13 03:43:36.889094,AssignmentSubmitted
3430,3AAJC4I4FGSEY90N185PXLK1GHZJZU,2016-03-13 03:45:21.599209,AssignmentAccepted
3431,3ZV9H2YQQD7ZJ0TTN0TVIA9U3I7W33,2016-03-13 03:46:49.514632,AssignmentAbandoned
3432,3ZV9H2YQQD7ZJ0TTN0TVIA9U3I7W33,2016-03-13 03:47:04.402623,AssignmentAccepted
3433,3FDJT1UU748B2FMGC5YL9WDJU7RK5N,2016-03-13 03:47:11.438756,AssignmentAccepted
3434,351SEKWQS0H1WG1CCNTKMLTFWTJDMS,2016-03-13 03:47:25.874267,AssignmentSubmitted
3435,37XITHEISW9IO48QHZUQOE57HG7CRG,2016-03-13 03:47:47.082503,AssignmentAccepted
3436,3TE3O8573085QMGOK65KC1WL5PTR2L,2016-03-13 03:48:28.416265,AssignmentAccepted
3437,3ZV9H2YQQD7ZJ0TTN0TVIA9U3I7W33,2016-03-13 03:49:34.909168,AssignmentReturned
3438,3S4AW7T80BI4Q20YJ0RCJ4KKJB04L4,2016-03-13 03:50:17.73893,AssignmentReturned
3439,384PI804XS1AVRDNK81BJN82UTSS0Q,2016-03-13 03:53:12.823514,AssignmentAccepted
3440,30LSNF239UVSXND5UJBBY9VUITB2IT,2016-03-13 03:56:13.414612,AssignmentAccepted
3441,3AAJC4I4FGSEY90N185PXLK1GHZJZU,2016-03-13 03:56:39.039544,AssignmentSubmitted
3442,3TE3O8573085QMGOK65KC1WL5PTR2L,2016-03-13 03:57:28.335426,AssignmentSubmitted
3443,3FDJT1UU748B2FMGC5YL9WDJU7RK5N,2016-03-13 03:57:29.392436,AssignmentSubmitted
3444,384PI804XS1AVRDNK81BJN82UTSS0Q,2016-03-13 03:58:52.69488,AssignmentSubmitted
3445,37XITHEISW9IO48QHZUQOE57HG7CRG,2016-03-13 03:59:01.968456,AssignmentSubmitted
3446,3ZPBJO59KP1F4201LQD7UGLJF7MHDP,2016-03-13 03:59:09.103263,AssignmentAccepted
3447,3LO69W1SU3DK2ITIE1TDSTHN9GAGL4,2016-03-13 03:59:44.715485,AssignmentAccepted
3448,3QFUFYSY9YFIQAQ2XPOEORF0MFGF4C,2016-03-13 04:01:30.131161,AssignmentAccepted
