id,assignment_id,creation_time,event_type
2440,3KKG4CDWKIY9P0ZPU3OMEVTPIZ094S,2016-03-03 23:29:52.190865,AssignmentAccepted
2441,3LOTDFNYA7ZUZC9M7VUXJJYR5QTFWB,2016-03-03 23:30:40.796186,AssignmentAccepted
2442,3PJUZCGDJ6GA81MR66EZV79UKLW98Z,2016-03-03 23:32:04.91659,AssignmentAccepted
2443,3L2IS5HSFAITV0XYAJY990M3M14NUR,2016-03-03 23:32:10.278994,AssignmentAccepted
2444,36AHBNMV1RC1QXQQVQHVGGGM4LDYDI,2016-03-03 23:32:15.797962,AssignmentAccepted
2445,3L2IS5HSFAITV0XYAJY990M3M14NUR,2016-03-03 23:34:57.107386,AssignmentSubmitted
2446,3KKG4CDWKIY9P0ZPU3OMEVTPIZ094S,2016-03-03 23:34:58.038133,AssignmentSubmitted
2447,3L0KT67Y8EG7SM98SGCKBF2M5ONSY6,2016-03-03 23:34:59.281744,AssignmentSubmitted
2448,3VHHR074H3H19PIHLYPJMG4U9V6L7K,2016-03-03 23:36:23.792423,AssignmentAccepted
2449,3PJUZCGDJ6GA81MR66EZV79UKLW98Z,2016-03-03 23:36:39.833972,AssignmentSubmitted
2450,3DHE4R9OCWBE1W7A4VB8DXIE2YYG2T,2016-03-03 23:36:55.66311,AssignmentAccepted
2451,3300DTYQT2HX91D40BBL9CV55OYEQP,2016-03-03 23:37:41.415712,AssignmentAccepted
2452,3I33IC7ZWF2DR5U7IVJYHB7B43LA2B,2016-03-03 23:39:20.088994,AssignmentSubmitted
2453,3LOTDFNYA7ZUZC9M7VUXJJYR5QTFWB,2016-03-03 23:39:44.243007,AssignmentSubmitted
2454,36AHBNMV1RC1QXQQVQHVGGGM4LDYDI,2016-03-03 23:40:29.352926,AssignmentSubmitted
2455,3NPI0JQDAO5EY8UMQTLR8T5W32YTP2,2016-03-03 23:40:39.879893,AssignmentAccepted
2456,3VHHR074H3H19PIHLYPJMG4U9V6L7K,2016-03-03 23:40:57.84851,AssignmentSubmitted
2457,3DHE4R9OCWBE1W7A4VB8DXIE2YYG2T,2016-03-03 23:41:29.159403,AssignmentSubmitted
2458,3M68NM076H7T8NZP78HN2EDXKCC6RX,2016-03-03 23:42:50.79817,AssignmentAccepted
2459,3PJ71Z61R42SX1267L5KGXMM6FQ91F,2016-03-03 23:43:22.076795,AssignmentAbandoned
2460,3300DTYQT2HX91D40BBL9CV55OYEQP,2016-03-03 23:44:13.035426,AssignmentSubmitted
2461,3NPI0JQDAO5EY8UMQTLR8T5W32YTP2,2016-03-03 23:44:14.094827,AssignmentSubmitted
2462,37Z929RLG98BB0AEIAPL3YA7QM5TSI,2016-03-03 23:44:15.078965,AssignmentAccepted
2463,34PGFRQONOBA4EVIQLLIYHQJYXBJWJ,2016-03-03 23:45:39.790749,AssignmentAccepted
2464,37W3JXSD6680Z3QHCLML8457B1KWYQ,2016-03-03 23:46:05.540611,AssignmentAccepted
