id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
214,2017-03-10 01:21:16.429584,,,,,,f,,question,76,2,difficulty,6
216,2017-03-10 01:21:16.514789,,,,,,f,,question,76,4,"",""
221,2017-03-10 01:21:51.125435,,,,,,f,,question,74,1,engagement,10
222,2017-03-10 01:21:51.925579,,,,,,f,,question,74,2,difficulty,7
223,2017-03-10 01:21:52.691569,,,,,,f,,question,74,3,"",""
226,2017-03-10 01:22:04.750814,,,,,,f,,question,68,2,difficulty,3
227,2017-03-10 01:22:40.353224,,,,,,f,,question,79,1,engagement,10
229,2017-03-10 01:22:40.646313,,,,,,f,,question,79,3,"",""
232,2017-03-10 01:22:53.807233,,,,,,f,,question,73,2,difficulty,1
233,2017-03-10 01:22:54.107933,,,,,,f,,question,73,3,"",""
235,2017-03-10 01:22:56.071784,,,,,,f,,question,66,2,difficulty,9
239,2017-03-10 01:23:26.15061,,,,,,f,,question,60,2,difficulty,7
240,2017-03-10 01:23:26.267252,,,,,,f,,question,60,3,"",""
241,2017-03-10 01:24:44.652398,,,,,,f,,question,81,1,engagement,10
243,2017-03-10 01:24:44.779063,,,,,,f,,question,81,3,"",""
249,2017-03-10 01:25:39.28962,,,,,,f,,question,78,1,engagement,10
250,2017-03-10 01:25:39.40366,,,,,,f,,question,78,2,difficulty,9
251,2017-03-10 01:25:39.498674,,,,,,f,,question,78,3,"",""
253,2017-03-10 01:26:36.493103,,,,,,f,,question,84,1,engagement,10
254,2017-03-10 01:26:36.664882,,,,,,f,,question,84,2,difficulty,4
205,2017-03-10 01:20:26.561098,,,,,,f,,question,65,1,engagement,8
207,2017-03-10 01:20:55.07301,,,,,,f,,question,55,1,engagement,8
208,2017-03-10 01:20:55.60544,,,,,,f,,question,55,2,difficulty,4
209,2017-03-10 01:21:15.156438,,,,,,f,,question,53,1,engagement,8
213,2017-03-10 01:21:16.38991,,,,,,f,,question,76,1,engagement,10
215,2017-03-10 01:21:16.472977,,,,,,f,,question,76,3,"",""
217,2017-03-10 01:21:30.143097,,,,,,f,,question,72,1,engagement,6
218,2017-03-10 01:21:30.296577,,,,,,f,,question,72,2,difficulty,9
219,2017-03-10 01:21:30.386452,,,,,,f,,question,72,3,"",""
220,2017-03-10 01:21:30.623332,,,,,,f,,question,72,4,"",""
224,2017-03-10 01:21:53.450542,,,,,,f,,question,74,4,"",""
225,2017-03-10 01:22:04.444857,,,,,,f,,question,68,1,engagement,6
228,2017-03-10 01:22:40.499622,,,,,,f,,question,79,2,difficulty,9
230,2017-03-10 01:22:40.792975,,,,,,f,,question,79,4,"",""
231,2017-03-10 01:22:53.596843,,,,,,f,,question,73,1,engagement,10
234,2017-03-10 01:22:55.854036,,,,,,f,,question,66,1,engagement,10
236,2017-03-10 01:22:59.186234,,,,,,f,,question,80,1,engagement,10
237,2017-03-10 01:22:59.557154,,,,,,f,,question,80,2,difficulty,10
238,2017-03-10 01:23:26.049069,,,,,,f,,question,60,1,engagement,8
242,2017-03-10 01:24:44.717342,,,,,,f,,question,81,2,difficulty,9
244,2017-03-10 01:24:44.837803,,,,,,f,,question,81,4,"",""
245,2017-03-10 01:25:07.351705,,,,,,f,,question,70,1,engagement,10
246,2017-03-10 01:25:07.725707,,,,,,f,,question,70,2,difficulty,3
247,2017-03-10 01:25:08.07516,,,,,,f,,question,70,3,"",""
248,2017-03-10 01:25:08.428783,,,,,,f,,question,70,4,"",""
252,2017-03-10 01:25:39.570576,,,,,,f,,question,78,4,"",""
255,2017-03-10 01:26:46.893418,,,,,,f,,question,59,1,engagement,10
256,2017-03-10 01:28:34.752594,,,,,,f,,question,77,1,engagement,9
257,2017-03-10 01:28:35.087173,,,,,,f,,question,77,2,difficulty,8
258,2017-03-10 01:28:35.444942,,,,,,f,,question,77,3,"",""
259,2017-03-10 01:28:35.764387,,,,,,f,,question,77,4,"",""
260,2017-03-10 01:28:47.969829,,,,,,f,,question,82,1,engagement,10
261,2017-03-10 01:28:48.356084,,,,,,f,,question,82,2,difficulty,8
262,2017-03-10 01:28:48.718404,,,,,,f,,question,82,3,"",""
263,2017-03-10 01:28:49.072811,,,,,,f,,question,82,4,"",""
264,2017-03-10 01:29:31.786999,,,,,,f,,question,67,1,engagement,10
265,2017-03-10 01:29:32.030604,,,,,,f,,question,67,2,difficulty,8
266,2017-03-10 01:29:32.410592,,,,,,f,,question,67,3,"",""
267,2017-03-10 01:29:32.648159,,,,,,f,,question,67,4,"",""
268,2017-03-10 01:30:39.7003,,,,,,f,,question,75,1,engagement,8
269,2017-03-10 01:30:39.741447,,,,,,f,,question,75,2,difficulty,7
270,2017-03-10 01:30:39.780799,,,,,,f,,question,75,3,"",""
271,2017-03-10 01:30:39.819073,,,,,,f,,question,75,4,"",""
272,2017-03-10 01:34:07.783516,,,,,,f,,question,83,1,engagement,8
273,2017-03-10 01:34:08.430364,,,,,,f,,question,83,2,difficulty,8
274,2017-03-10 01:34:08.691143,,,,,,f,,question,83,3,"",""
275,2017-03-10 01:34:08.952782,,,,,,f,,question,83,4,"",""
276,2017-03-10 01:34:38.467577,,,,,,f,,question,85,1,engagement,9
277,2017-03-10 01:34:42.391501,,,,,,f,,question,85,2,difficulty,9
278,2017-03-10 01:35:22.276406,,,,,,f,,question,86,1,engagement,10
279,2017-03-10 01:35:22.457072,,,,,,f,,question,86,2,difficulty,5
280,2017-03-10 01:44:57.531838,,,,,,f,,question,87,1,engagement,10
281,2017-03-10 01:44:58.073381,,,,,,f,,question,87,2,difficulty,4
282,2017-03-10 01:44:58.464578,,,,,,f,,question,87,3,"",""
283,2017-03-10 01:44:58.842708,,,,,,f,,question,87,4,"",""
284,2017-03-10 01:50:37.827693,,,,,,f,,question,91,1,engagement,8
285,2017-03-10 01:50:37.89374,,,,,,f,,question,91,2,difficulty,4
286,2017-03-10 01:50:37.960828,,,,,,f,,question,91,3,"",""
287,2017-03-10 01:50:38.261579,,,,,,f,,question,88,1,engagement,7
288,2017-03-10 01:50:38.36674,,,,,,f,,question,94,1,engagement,2
289,2017-03-10 01:50:38.638941,,,,,,f,,question,88,2,difficulty,5
290,2017-03-10 01:50:38.657397,,,,,,f,,question,94,2,difficulty,2
291,2017-03-10 01:50:38.95811,,,,,,f,,question,94,3,"",""
292,2017-03-10 01:50:39.074726,,,,,,f,,question,88,3,"",""
293,2017-03-10 01:50:39.253725,,,,,,f,,question,94,4,"",""
294,2017-03-10 01:50:39.739854,,,,,,f,,question,88,4,"",""
295,2017-03-10 01:50:50.451523,,,,,,f,,question,93,1,engagement,10
296,2017-03-10 01:50:50.837695,,,,,,f,,question,93,2,difficulty,6
297,2017-03-10 01:50:51.22648,,,,,,f,,question,93,3,"",""
298,2017-03-10 01:52:18.211956,,,,,,f,,question,89,1,engagement,8
299,2017-03-10 01:52:18.283797,,,,,,f,,question,89,2,difficulty,5
300,2017-03-10 01:52:18.369158,,,,,,f,,question,89,3,"",""
301,2017-03-10 01:54:44.479805,,,,,,f,,question,90,1,engagement,8
302,2017-03-10 01:54:45.03935,,,,,,f,,question,90,2,difficulty,5
303,2017-03-10 01:54:45.475324,,,,,,f,,question,90,3,"",""
304,2017-03-10 01:55:49.25439,,,,,,f,,question,99,1,engagement,8
305,2017-03-10 01:55:50.009451,,,,,,f,,question,99,2,difficulty,10
306,2017-03-10 01:55:51.093024,,,,,,f,,question,99,3,"",""
307,2017-03-10 01:55:52.027564,,,,,,f,,question,99,4,"",""
308,2017-03-10 01:55:53.548079,,,,,,f,,question,98,1,engagement,6
