id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,info_in_id,info_out_id,node_id,network_id
215,2017-03-10 01:58:44.840005,,,,,,f,,mutation,2008,4475,113,1
216,2017-03-10 01:58:44.845863,,,,,,f,,mutation,2009,4476,113,1
217,2017-03-10 01:59:04.86529,,,,,,f,,mutation,2886,4516,114,1
218,2017-03-10 01:59:04.870947,,,,,,f,,mutation,2885,4517,114,1
219,2017-03-10 01:59:14.302975,,,,,,f,,mutation,3626,4540,115,1
220,2017-03-10 01:59:14.308774,,,,,,f,,mutation,3627,4541,115,1
227,2017-03-10 02:02:48.607501,,,,,,f,,mutation,1823,4961,119,1
228,2017-03-10 02:02:48.613809,,,,,,f,,mutation,1822,4962,119,1
229,2017-03-10 02:03:41.546186,,,,,,f,,mutation,3167,4992,120,1
230,2017-03-10 02:03:41.552363,,,,,,f,,mutation,3168,4993,120,1
235,2017-03-10 02:05:28.85384,,,,,,f,,mutation,1823,5080,123,1
236,2017-03-10 02:05:28.859934,,,,,,f,,mutation,1822,5081,123,1
237,2017-03-10 02:11:16.272516,,,,,,f,,mutation,1871,5235,124,1
238,2017-03-10 02:11:16.278348,,,,,,f,,mutation,1872,5236,124,1
239,2017-03-10 02:14:11.792387,,,,,,f,,mutation,1749,5306,125,1
240,2017-03-10 02:14:11.798413,,,,,,f,,mutation,1750,5307,125,1
243,2017-03-10 02:18:14.149257,,,,,,f,,mutation,3626,5368,127,1
244,2017-03-10 02:18:14.155386,,,,,,f,,mutation,3627,5369,127,1
247,2017-03-10 02:33:00.136695,,,,,,f,,mutation,3874,5469,129,1
248,2017-03-10 02:33:00.142709,,,,,,f,,mutation,3875,5470,129,1
249,2017-03-10 02:33:29.251978,,,,,,f,,mutation,4475,5471,130,1
250,2017-03-10 02:33:29.258044,,,,,,f,,mutation,4476,5472,130,1
251,2017-03-10 02:33:38.444846,,,,,,f,,mutation,4476,5473,131,1
252,2017-03-10 02:33:38.450511,,,,,,f,,mutation,4475,5474,131,1
207,2017-03-10 01:57:43.108341,,,,,,f,,mutation,1822,4376,109,1
208,2017-03-10 01:57:43.114102,,,,,,f,,mutation,1823,4377,109,1
209,2017-03-10 01:58:09.084177,,,,,,f,,mutation,1803,4413,110,1
210,2017-03-10 01:58:09.090254,,,,,,f,,mutation,1804,4414,110,1
213,2017-03-10 01:58:21.289481,,,,,,f,,mutation,1749,4434,112,1
214,2017-03-10 01:58:21.295304,,,,,,f,,mutation,1750,4436,112,1
221,2017-03-10 01:59:25.703207,,,,,,f,,mutation,2658,4568,116,1
222,2017-03-10 01:59:25.709341,,,,,,f,,mutation,2659,4569,116,1
223,2017-03-10 02:00:28.857647,,,,,,f,,mutation,2784,4752,117,1
224,2017-03-10 02:00:28.863612,,,,,,f,,mutation,2785,4753,117,1
225,2017-03-10 02:01:56.299692,,,,,,f,,mutation,1871,4930,118,1
226,2017-03-10 02:01:56.305914,,,,,,f,,mutation,1872,4931,118,1
231,2017-03-10 02:04:25.243601,,,,,,f,,mutation,1822,5009,121,1
232,2017-03-10 02:04:25.249581,,,,,,f,,mutation,1823,5010,121,1
233,2017-03-10 02:05:04.898832,,,,,,f,,mutation,2885,5049,122,1
234,2017-03-10 02:05:04.904794,,,,,,f,,mutation,2886,5050,122,1
241,2017-03-10 02:15:50.663245,,,,,,f,,mutation,2479,5335,126,1
242,2017-03-10 02:15:50.669241,,,,,,f,,mutation,2480,5336,126,1
245,2017-03-10 02:28:02.909734,,,,,,f,,mutation,2480,5410,128,1
246,2017-03-10 02:28:02.915894,,,,,,f,,mutation,2479,5411,128,1
253,2017-03-10 02:33:56.133517,,,,,,f,,mutation,3882,5483,132,1
254,2017-03-10 02:33:56.139697,,,,,,f,,mutation,3883,5484,132,1
255,2017-03-10 02:33:58.428932,,,,,,f,,mutation,4516,5487,133,1
256,2017-03-10 02:33:58.440353,,,,,,f,,mutation,3883,5488,134,1
257,2017-03-10 02:33:58.434595,,,,,,f,,mutation,4517,5489,133,1
258,2017-03-10 02:33:58.446151,,,,,,f,,mutation,3882,5490,134,1
259,2017-03-10 02:35:37.840218,,,,,,f,,mutation,3886,5626,135,1
260,2017-03-10 02:35:37.846048,,,,,,f,,mutation,3885,5627,135,1
261,2017-03-10 02:36:48.688011,,,,,,f,,mutation,3882,5749,136,1
262,2017-03-10 02:36:48.694137,,,,,,f,,mutation,3883,5750,136,1
263,2017-03-10 02:38:40.978805,,,,,,f,,mutation,3882,5896,137,1
264,2017-03-10 02:38:40.984688,,,,,,f,,mutation,3883,5897,137,1
265,2017-03-10 02:39:19.507864,,,,,,f,,mutation,3882,5922,138,1
266,2017-03-10 02:39:19.513795,,,,,,f,,mutation,3883,5923,138,1
267,2017-03-10 02:39:37.714637,,,,,,f,,mutation,3885,5940,139,1
268,2017-03-10 02:39:37.720444,,,,,,f,,mutation,3886,5941,139,1
269,2017-03-10 02:39:49.207868,,,,,,f,,mutation,4305,5954,140,1
270,2017-03-10 02:39:49.213649,,,,,,f,,mutation,4304,5955,140,1
271,2017-03-10 02:39:58.46709,,,,,,f,,mutation,4304,5966,141,1
272,2017-03-10 02:39:58.47292,,,,,,f,,mutation,4305,5967,141,1
273,2017-03-10 02:40:11.536566,,,,,,f,,mutation,4034,5991,142,1
274,2017-03-10 02:40:11.542448,,,,,,f,,mutation,4035,5992,142,1
275,2017-03-10 02:41:43.323293,,,,,,f,,mutation,4376,6169,143,1
276,2017-03-10 02:41:43.329256,,,,,,f,,mutation,4377,6170,143,1
277,2017-03-10 02:43:29.642574,,,,,,f,,mutation,4376,6313,144,1
278,2017-03-10 02:43:29.648829,,,,,,f,,mutation,4377,6314,144,1
279,2017-03-10 02:43:32.164067,,,,,,f,,mutation,3886,6322,145,1
280,2017-03-10 02:43:32.170212,,,,,,f,,mutation,3885,6323,145,1
283,2017-03-10 02:45:04.448531,,,,,,f,,mutation,4231,6395,147,1
284,2017-03-10 02:45:04.454535,,,,,,f,,mutation,4232,6396,147,1
285,2017-03-10 02:45:31.388736,,,,,,f,,mutation,3930,6417,148,1
286,2017-03-10 02:45:31.396067,,,,,,f,,mutation,3931,6418,148,1
287,2017-03-10 02:45:53.997196,,,,,,f,,mutation,4417,6442,149,1
288,2017-03-10 02:45:54.003308,,,,,,f,,mutation,4418,6443,149,1
289,2017-03-10 02:46:01.096242,,,,,,f,,mutation,4376,6452,150,1
290,2017-03-10 02:46:01.102093,,,,,,f,,mutation,4377,6453,150,1
291,2017-03-10 02:46:17.916703,,,,,,f,,mutation,3886,6480,151,1
292,2017-03-10 02:46:17.922652,,,,,,f,,mutation,3885,6481,151,1
293,2017-03-10 02:46:30.177006,,,,,,f,,mutation,4475,6506,152,1
294,2017-03-10 02:46:30.183056,,,,,,f,,mutation,4476,6507,152,1
295,2017-03-10 02:47:23.371955,,,,,,f,,mutation,4233,6623,153,1
296,2017-03-10 02:47:23.378267,,,,,,f,,mutation,4234,6624,153,1
297,2017-03-10 02:47:37.908393,,,,,,f,,mutation,4992,6653,154,1
298,2017-03-10 02:47:37.914283,,,,,,f,,mutation,4993,6654,154,1
299,2017-03-10 02:47:39.478111,,,,,,f,,mutation,3734,6658,155,1
300,2017-03-10 02:47:39.484157,,,,,,f,,mutation,3733,6659,155,1
301,2017-03-10 02:48:01.137111,,,,,,f,,mutation,4034,6704,156,1
302,2017-03-10 02:48:01.14301,,,,,,f,,mutation,4035,6705,156,1
303,2017-03-10 02:48:14.266496,,,,,,f,,mutation,3734,6729,157,1
304,2017-03-10 02:48:14.272478,,,,,,f,,mutation,3733,6730,157,1
305,2017-03-10 02:48:24.663232,,,,,,f,,mutation,4434,6749,158,1
306,2017-03-10 02:48:24.669291,,,,,,f,,mutation,4436,6750,158,1
307,2017-03-10 02:49:37.040064,,,,,,f,,mutation,3885,6889,159,1
308,2017-03-10 02:49:37.046881,,,,,,f,,mutation,3886,6890,159,1
309,2017-03-10 02:50:17.170216,,,,,,f,,mutation,3668,6973,160,1
310,2017-03-10 02:50:17.176387,,,,,,f,,mutation,3669,6974,160,1
311,2017-03-10 02:50:53.034129,,,,,,f,,mutation,3883,7057,161,1
312,2017-03-10 02:50:53.041134,,,,,,f,,mutation,3882,7058,161,1
313,2017-03-10 02:51:11.346924,,,,,,f,,mutation,3882,7094,162,1
314,2017-03-10 02:51:11.353008,,,,,,f,,mutation,3883,7095,162,1
315,2017-03-10 02:51:25.542457,,,,,,f,,mutation,3888,7117,163,1
316,2017-03-10 02:51:25.548574,,,,,,f,,mutation,3889,7118,163,1
317,2017-03-10 02:51:41.189456,,,,,,f,,mutation,4304,7141,164,1
318,2017-03-10 02:51:41.195208,,,,,,f,,mutation,4305,7142,164,1
321,2017-03-10 02:52:19.137994,,,,,,f,,mutation,4304,7208,166,1
322,2017-03-10 02:52:19.143863,,,,,,f,,mutation,4305,7209,166,1
323,2017-03-10 02:54:19.418868,,,,,,f,,mutation,4377,7436,167,1
324,2017-03-10 02:54:19.425048,,,,,,f,,mutation,4376,7437,167,1
282,2017-03-10 02:44:11.893943,,,,,,t,2017-03-10 02:56:15.103858,mutation,4475,6367,146,1
281,2017-03-10 02:44:11.887634,,,,,,t,2017-03-10 02:56:15.111803,mutation,4476,6366,146,1
325,2017-03-10 02:59:52.701472,,,,,,f,,mutation,3921,7551,168,1
326,2017-03-10 02:59:52.707416,,,,,,f,,mutation,3922,7552,168,1
320,2017-03-10 02:52:00.565415,,,,,,t,2017-03-10 03:06:03.797374,mutation,4930,7174,165,1
319,2017-03-10 02:52:00.559298,,,,,,t,2017-03-10 03:06:03.805029,mutation,4931,7173,165,1
327,2017-03-10 03:10:01.18758,,,,,,f,,mutation,4540,7605,169,1
328,2017-03-10 03:10:01.194147,,,,,,f,,mutation,4541,7606,169,1
329,2017-03-10 03:10:44.099651,,,,,,f,,mutation,3882,7613,170,1
330,2017-03-10 03:10:44.105155,,,,,,f,,mutation,3883,7614,170,1
331,2017-03-10 03:17:26.059337,,,,,,f,,mutation,5966,7681,171,1
332,2017-03-10 03:17:26.06544,,,,,,f,,mutation,5967,7682,171,1
333,2017-03-10 03:17:55.408617,,,,,,f,,mutation,7551,7697,172,1
334,2017-03-10 03:17:55.414573,,,,,,f,,mutation,7552,7698,172,1
335,2017-03-10 03:18:12.650976,,,,,,f,,mutation,5749,7708,173,1
336,2017-03-10 03:18:12.657081,,,,,,f,,mutation,5750,7709,173,1
337,2017-03-10 03:18:59.479845,,,,,,f,,mutation,6507,7745,174,1
338,2017-03-10 03:18:59.485552,,,,,,f,,mutation,6506,7746,174,1
339,2017-03-10 03:19:52.07087,,,,,,f,,mutation,5966,7816,175,1
340,2017-03-10 03:19:52.076601,,,,,,f,,mutation,5967,7817,175,1
341,2017-03-10 03:20:14.063653,,,,,,f,,mutation,5750,7855,176,1
342,2017-03-10 03:20:14.069794,,,,,,f,,mutation,5749,7856,176,1
343,2017-03-10 03:20:27.091803,,,,,,f,,mutation,6506,7887,177,1
344,2017-03-10 03:20:27.09766,,,,,,f,,mutation,6507,7888,177,1
345,2017-03-10 03:20:32.211938,,,,,,f,,mutation,5490,7902,178,1
346,2017-03-10 03:20:32.218062,,,,,,f,,mutation,5488,7903,178,1
