id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
150,2017-03-10 01:16:38.968216,,,,,,f,,3WEV0KO0OMS4UBEHWKP6YUSL0IRSDL,AssignmentSubmitted
151,2017-03-10 01:16:40.09579,,,,,,f,,38YMOXR4MUZYGJGB62RTPDLEP90W6C,AssignmentAccepted
152,2017-03-10 01:16:41.419784,,,,,,f,,3WLEIWSYHOHS1S2LO1TQYXUFUGLH2G,AssignmentAccepted
153,2017-03-10 01:16:57.940412,,,,,,f,,36V4Q8R5ZK0VLP5HH9Z4MK0ER8YQMC,AssignmentSubmitted
154,2017-03-10 01:17:04.871665,,,,,,f,,3IAEQB9FMEKX1SVQGPZ7VJV66VNWD4,AssignmentAccepted
155,2017-03-10 01:17:25.605968,,,,,,f,,3HVVDCPGTES87MMNHGHALKY8KPBYTO,AssignmentAccepted
156,2017-03-10 01:17:42.017485,,,,,,f,,3ZR9AIQJUB9RT6BCU75TLKSWSDG40Y,AssignmentAccepted
157,2017-03-10 01:17:42.916137,,,,,,f,,34MAJL3QP4NNAYA9DUNCNIQ3VP043T,AssignmentAccepted
158,2017-03-10 01:17:50.016325,,,,,,f,,39K0FND3AHF3Y9Y0SD2IWKL9NQCMA1,AssignmentAccepted
159,2017-03-10 01:17:53.990368,,,,,,f,,3BV8HQ2ZZW1196D85XV17OONXQY6AC,AssignmentAccepted
160,2017-03-10 01:18:20.370746,,,,,,f,,3Z7VU45IPYH73SKJBJZJTLOFY0OZ17,AssignmentAccepted
161,2017-03-10 01:18:50.66376,,,,,,f,,37XITHEISW9IO48QHZUQOE57TGWRCW,AssignmentAccepted
162,2017-03-10 01:19:03.487942,,,,,,f,,3NVC2EB65QZ385OT21BJ37UAQQYY37,AssignmentSubmitted
163,2017-03-10 01:19:05.025817,,,,,,f,,39OWYR0EPKRYOH4MMWCL4GJ7TG3FYX,AssignmentSubmitted
164,2017-03-10 01:19:45.72346,,,,,,f,,3WR9XG3T63B5BHBWF6Q20Z2J0RM47Y,AssignmentAccepted
165,2017-03-10 01:20:13.201699,,,,,,f,,3RXPCZQMQPB7CBPELRBU8E89NAUG1Z,AssignmentSubmitted
166,2017-03-10 01:20:14.673395,,,,,,f,,3K4J6M3CXET36Z2EHA4NJF1CR40GAN,AssignmentSubmitted
167,2017-03-10 01:20:15.784133,,,,,,f,,3WLEIWSYHOHS1S2LO1TQYXUFUGLH2G,AssignmentSubmitted
168,2017-03-10 01:20:57.726321,,,,,,f,,3QBD8R3Z21JCWN3VWS74BLOEQGVO47,AssignmentSubmitted
169,2017-03-10 01:20:59.31773,,,,,,f,,3F6HPJW4JD0AYIXAJ0FQZ04294YW2V,AssignmentSubmitted
170,2017-03-10 01:21:32.801641,,,,,,f,,3EFVCAY5L39ZEDZ0SI5CK1NXT8HJ8Q,AssignmentSubmitted
171,2017-03-10 01:21:42.168536,,,,,,f,,3N4BPTXIO8SSNUCVD66TH85Z5O9UKG,AssignmentAccepted
172,2017-03-10 01:22:30.309274,,,,,,f,,34MAJL3QP4NNAYA9DUNCNIQ3VP043T,AssignmentSubmitted
173,2017-03-10 01:22:31.517239,,,,,,f,,369J354OFDA2JXQBRXNB3AZQVLAG6X,AssignmentSubmitted
174,2017-03-10 01:22:32.849512,,,,,,f,,3BEFOD78W6TOWKIJJCSRJHZ9VGGM4Q,AssignmentSubmitted
175,2017-03-10 01:22:33.703062,,,,,,f,,38YMOXR4MUZYGJGB62RTPDLEP90W6C,AssignmentSubmitted
176,2017-03-10 01:23:44.839556,,,,,,f,,386PBUZZXFXUTKJJM7EGP693D8GJLC,AssignmentSubmitted
177,2017-03-10 01:23:46.236408,,,,,,f,,3IAEQB9FMEKX1SVQGPZ7VJV66VNWD4,AssignmentSubmitted
178,2017-03-10 01:23:47.558017,,,,,,f,,3A9AA95ATWMCD6JWPX3T5DZI0HM5PA,AssignmentSubmitted
179,2017-03-10 01:23:48.394042,,,,,,f,,37XITHEISW9IO48QHZUQOE57TGWRCW,AssignmentSubmitted
180,2017-03-10 01:24:14.494481,,,,,,f,,3WR9XG3T63B5BHBWF6Q20Z2J0RM47Y,AssignmentSubmitted
181,2017-03-10 01:24:15.497475,,,,,,f,,3HVVDCPGTES87MMNHGHALKY8KPBYTO,AssignmentSubmitted
182,2017-03-10 01:26:14.023729,,,,,,f,,3TR2532VIPUCAZGCZ38E0NR6NDRJ64,AssignmentSubmitted
183,2017-03-10 01:26:26.574722,,,,,,f,,3SBEHTYCWN3IY86CN4I67DWZ98VIYR,AssignmentReturned
184,2017-03-10 01:26:27.4607,,,,,,f,,3SBEHTYCWN3IY86CN4I67DWZ98VIYR,AssignmentAccepted
185,2017-03-10 01:27:29.472327,,,,,,f,,39K0FND3AHF3Y9Y0SD2IWKL9NQCMA1,AssignmentSubmitted
186,2017-03-10 01:27:51.339735,,,,,,f,,32AT8R96GL9QBDP3IFFV8UW9MIMSUV,AssignmentSubmitted
187,2017-03-10 01:27:52.58042,,,,,,f,,3KYQYYSHYV7PWJMOP38XEPIK3TOODK,AssignmentSubmitted
188,2017-03-10 01:28:29.90884,,,,,,f,,3Z7VU45IPYH73SKJBJZJTLOFY0OZ17,AssignmentSubmitted
189,2017-03-10 01:30:48.527038,,,,,,f,,3NLZY2D53PPBF7NWHXYPM7LPR38LQ5,AssignmentSubmitted
190,2017-03-10 01:30:49.848632,,,,,,f,,33IZTU6J811ISHJYNKQIS1VDG03SXN,AssignmentSubmitted
191,2017-03-10 01:31:13.206091,,,,,,f,,32M8BPYGATMICHLCTYW00DPV4C5GIR,AssignmentAbandoned
192,2017-03-10 01:31:14.092078,,,,,,f,,32M8BPYGATMICHLCTYW00DPV4C5GIR,AssignmentAccepted
193,2017-03-10 01:31:35.781531,,,,,,f,,3BV8HQ2ZZW1196D85XV17OONXQY6AC,AssignmentSubmitted
194,2017-03-10 01:31:36.953854,,,,,,f,,3ZR9AIQJUB9RT6BCU75TLKSWSDG40Y,AssignmentSubmitted
195,2017-03-10 01:33:17.500913,,,,,,f,,3WSELTNVR327B4OK1A3UIYG1HY8TA9,AssignmentAbandoned
196,2017-03-10 01:34:16.824415,,,,,,f,,3M0NZ3JDP1Y6RAL2C61VWB1WAGUZ5Q,AssignmentAccepted
197,2017-03-10 01:35:29.988387,,,,,,f,,3SBEHTYCWN3IY86CN4I67DWZ98VIYR,AssignmentSubmitted
198,2017-03-10 01:35:31.036726,,,,,,f,,3N4BPTXIO8SSNUCVD66TH85Z5O9UKG,AssignmentSubmitted
199,2017-03-10 01:35:46.807878,,,,,,f,,32M8BPYGATMICHLCTYW00DPV4C5GIR,AssignmentSubmitted
200,2017-03-10 01:45:14.593434,,,,,,f,,3M0NZ3JDP1Y6RAL2C61VWB1WAGUZ5Q,AssignmentSubmitted
201,2017-03-10 01:46:02.053056,,,,,,f,,392CY0QWG1R201SSYXUZROSSE7Z4IV,AssignmentAccepted
202,2017-03-10 01:46:20.443186,,,,,,f,,3IAEQB9FMEKX1SVQGPZ7VJV66VPWD6,AssignmentAccepted
203,2017-03-10 01:46:21.784734,,,,,,f,,352YTHGROVD246H8SFCERCRDEUK4H2,AssignmentAccepted
204,2017-03-10 01:46:45.737843,,,,,,f,,3HYA4D452RJ8NWBFTB5QVCI2E1B2F6,AssignmentAccepted
205,2017-03-10 01:47:13.885041,,,,,,f,,39O5D9O87TSQ52NO69TU6G2RN2JC3G,AssignmentAccepted
206,2017-03-10 01:47:14.819088,,,,,,f,,3ERET4BTVM9U32OSFVB2LCILS329K7,AssignmentAccepted
207,2017-03-10 01:47:15.705568,,,,,,f,,3ERET4BTVM9U32OSFVB2LCILS329K7,AssignmentReturned
208,2017-03-10 01:48:00.398867,,,,,,f,,3Q5ZZ9ZEVOFR7EKF3G1IJR4SB7P58T,AssignmentAccepted
209,2017-03-10 01:48:12.126975,,,,,,f,,3XIQGXAUMC8W9JZ6ZHS7XAZHTMSX77,AssignmentAccepted
210,2017-03-10 01:48:45.989041,,,,,,f,,3X65QVEQI0N7L6DDCFXU22W8NOACLU,AssignmentAccepted
